type,Symbol,AX,reason,price,ROI,index
Exit,AMRS,5/7/21,[True],11.61,-0.195426195,986
Exit,BNGO,4/17/19,[True],4.4,0.047619048,141
Exit,BNGO,5/16/19,[True],3,-0.130434783,161
Exit,BNGO,12/30/19,[True],1.09,0.091856155,318
Exit,BNGO,4/9/20,[True],0.315,0.166666667,388
Exit,BNGO,5/22/20,[True],0.432,0.107692308,418
Exit,BNGO,11/9/20,[True],0.4933,-0.067133132,536
Exit,BNGO,3/10/21,[True],9.52,0.286486486,618
Exit,BNGO,8/18/21,[True],5.469,-0.0885,730
Exit,BNGO,12/6/21,[True],3.23,-0.19366918,806
Exit,BNGO,2/1/22,[True],2.31,0.155,845
Exit,VLD,9/30/21,[True],8.8,-0.142300195,172
Exit,VLD,4/7/22,[True],6.9,-0.20598389,303
Exit,VLD,4/12/22,[True],6.19,-0.102898551,306
Exit,VLD,5/16/22,[True],2.9,0.150793651,329
Exit,VLD,10/25/22,[True],3.3,-0.095890411,441
Exit,VLD,11/10/22,[True],2.43,-0.305714286,453
Exit,DOMO,7/30/18,[True],16.6,-0.11842804,19
Exit,DOMO,8/28/19,[True],22.72,-0.094820717,291
Exit,DOMO,10/2/19,[True],15.12,-0.091891892,315
Exit,DOMO,3/16/20,[True],11.51,0.024021352,428
Exit,DOMO,8/11/20,[True],30.08,-0.097509751,531
Exit,DOMO,12/2/21,[True],63.52,-0.149665328,862
Exit,AEHR,3/16/16,[True],1.07,-0.085470085,71
Exit,AEHR,6/8/16,[True],1.75,0.635514019,129
Exit,AEHR,9/20/16,[True],2.15,-0.104166667,201
Exit,AEHR,6/9/17,[True],4.109,-0.066136364,382
Exit,AEHR,7/26/17,[True],4.23,0.104438642,414
Exit,AEHR,9/14/17,[True],3.65,0.140625,449
Exit,AEHR,1/25/18,[True],2.62,-0.083916084,540
Exit,AEHR,2/8/18,[True],2.31,-0.094117647,550
Exit,AEHR,10/4/18,[True],2,-0.122807018,715
Exit,AEHR,10/30/18,[True],1.83,-0.102941176,733
Exit,AEHR,12/7/18,[True],1.78,-0.082474227,759
